"STATION","NAME","DATE","AWND","PGTM","PRCP","PSUN","SN32","SNOW","SNWD","SX32","TAVG","TMAX","TMIN","TSUN","WDF2","WDF5","WESD","WSF2","WSF5","WT01","WT02","WT03","WT04","WT05","WT06","WT07","WT08","WT09","WT10","WT18"
"USW00093193","FRESNO YOSEMITE INTERNATIONAL, CA US","2020-01-01","2.91",,"0.00",,,"0.0","0.0",,"48","60","39",,"  150","  150",,"8.9","10.1","    1",,,,,,,"    1",,,
"USW00093193","FRESNO YOSEMITE INTERNATIONAL, CA US","2020-01-02","2.68",,"0.00",,,"0.0","0.0",,"48","56","39",,"  150","  180",,"6.9","8.9","    1",,,,,,,"    1",,,
"USW00093193","FRESNO YOSEMITE INTERNATIONAL, CA US","2020-01-03","3.80",,"0.00",,,"0.0","0.0",,"49","67","39",,"   90","   80",,"8.9","11.0","    1",,,,,,,"    1",,,
"USW00093193","FRESNO YOSEMITE INTERNATIONAL, CA US","2020-01-04","5.82",,"0.00",,,"0.0","0.0",,"53","65","42",,"  320","  250",,"12.1","15.0","    1",,,,,,,"    1",,,
"USW00093193","FRESNO YOSEMITE INTERNATIONAL, CA US","2020-01-05","6.49",,"0.00",,,"0.0","0.0",,"49","59","41",,"  310","  320",,"16.1","19.0","    1","    1",,,,,,"    1",,,
"USW00093193","FRESNO YOSEMITE INTERNATIONAL, CA US","2020-01-06","2.24",,"0.00",,,"0.0","0.0",,"47","53","39",,"  160","  170",,"8.9","11.0","    1","    1",,,,,,"    1",,,
"USW00093193","FRESNO YOSEMITE INTERNATIONAL, CA US","2020-01-07","3.58",,"0.00",,,"0.0","0.0",,"42","46","36",,"  330","  330",,"10.1","13.0","    1","    1",,,,,,,,,
"USW00093193","FRESNO YOSEMITE INTERNATIONAL, CA US","2020-01-08","4.47",,"0.02",,,"0.0","0.0",,"44","47","43",,"  340","  310",,"10.1","11.0","    1",,,,,,,"    1",,,
"USW00093193","FRESNO YOSEMITE INTERNATIONAL, CA US","2020-01-09","5.14",,"0.20",,,"0.0","0.0",,"45","52","42",,"  300","  290",,"15.0","18.1","    1",,,,,,,"    1",,,
"USW00093193","FRESNO YOSEMITE INTERNATIONAL, CA US","2020-01-10","3.13",,"0.00",,,"0.0","0.0",,"47","54","41",,"  170","  150",,"8.9","11.0","    1","    1",,,,,,"    1",,,
